Anambra,Ogbaru,Robbery,2022-07-04,sahara,"Ogbaru, Anambra, Nigeria",6.76099690724087,5.9212864
Kwara,Moro,Violence,2023-07-07,dailytrust,"Moro, Kwara, Nigeria",4.515472249381954,8.8535638
Cross River,Akamkpa,Others crimes,2023-07-01,guardian,"Akamkpa, Cross River, Nigeria",8.544655607884728,5.38964605
Kwara,Kwara,Violence,2023-07-07,dailytrust,"Kwara, Nigeria",4.6688487,8.8367891
Edo,Ovia South-West,Abduction,2022-07-04,sahara,"Ovia South-West, Edo, Nigeria",5.299159132565771,6.47095345
Lagos,Lagos,Others crimes,2023-07-05,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Edo,Etsako West,Abduction,2022-06-27,sahara,"Etsako West, Edo, Nigeria",6.301801401207017,6.996928199999999
Lagos,Lagos,Others crimes,2023-07-04,guardian,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Benue,Gboko,Abduction,2023-07-05,dailytrust,"Gboko, Benue, Nigeria",8.871322377025628,7.37784815
Ekiti,Gbonyin,Abduction,2022-07-04,sahara,"Gbonyin, Ekiti, Nigeria",5.502384054210898,7.6176543500000005
Kaduna,Kaduna,Fraud,2023-06-26,guardian,"Kaduna, Kabala, Kaduna North, Kaduna, 800211, Nigeria",7.4359863,10.5182899
Kogi,Yagba West,Abduction,2023-07-05,dailytrust,"Yagba West, Kogi, Nigeria",5.556420642697231,8.2763953
Enugu,Nsukka,Others crimes,2022-07-06,sahara,"Nsukka, Enugu, 410001, Nigeria",7.3927,6.8561
Zamfara,Bungudu,Others crimes,2023-07-05,dailytrust,"Bungudu, Zamfara, Nigeria",6.5540361,12.2682321
Enugu,Uzo-Uwani,Others crimes,2022-07-01,sahara,"Uzo-Uwani, Enugu, Nigeria",7.162330771688465,6.68966435
Bayelsa,Yenagoa,Robbery,2023-07-05,dailytrust,"Yenegoa, Bayelsa, Nigeria",6.2747786,4.9334651
Enugu,Uzo-Uwani,Others crimes,2022-07-01,sahara,"Uzo-Uwani, Enugu, Nigeria",7.162330771688465,6.68966435
Ebonyi,Abakaliki,Others crimes,2023-07-04,dailytrust,"Abakaliki, Ebonyi, Nigeria",8.1133202,6.3208897
Lagos,Ikeja,Robbery,2022-07-04,sahara,"Ikeja, Lagos, Nigeria",3.340787,6.5960605
Lagos,Ikeja,Drug trafficking,2022-07-04,sahara,"Ikeja, Lagos, Nigeria",3.340787,6.5960605
Akwa Ibom,Ika,Others crimes,2023-07-02,dailytrust,"Ika, Akwa Ibom, Nigeria",7.5426190019120956,5.0161686
Lagos,Epe,Drug trafficking,2023-06-16,guardian,"Epe, Lagos, Nigeria",3.9753453,6.5858219
Ogun,Abeokuta,Others crimes,2022-07-02,sahara,"Abẹ́òkúta, Abeokuta South, Ogun, 111101, Nigeria",3.3467344,7.1547129
Ogun,Obafemi Owode,Abduction,2023-07-02,dailytrust,"Obafemi Owode, Ogun, Nigeria",3.4444617483436986,6.92400835
Osun,Ilesa,Abduction,2022-07-02,sahara,"Iléṣà, Ilesha West, Osun, Nigeria",4.7414655,7.6245894
Osun,Ife,Others crimes,2023-06-19,guardian,"Ifẹ̀, Ife Central, Osun, 220282, Nigeria",4.5604451,7.482824
Enugu,Enugu,Abduction,2023-06-29,dailytrust,"Enugu, Enugu North, Enugu, 400102, Nigeria",7.5000007,6.4499833
Oyo,Ibadan,Fraud,2022-06-27,sahara,"Ìbàdàn, Ibadan South West, Oyo, 234102, Nigeria",3.8972497,7.3777462
Kebbi,Argungu,Others crimes,2023-06-30,dailytrust,"Argungu, Kokani North, Argungu, Kebbi, Nigeria",4.5266465,12.7477288
Rivers,Etche,Abduction,2022-06-27,sahara,"Etche, Rivers, Nigeria",7.092638789196567,5.0765321
Ondo,Ondo West,Sexual abuse,2023-06-15,guardian,"Ondo West, Ondo, 100001, Nigeria",4.768711120944029,7.03314665
Ondo,Ose,Terrorism,2023-06-29,dailytrust,"Ose, Ondo, Nigeria",5.72865134362812,7.05101395
Taraba,Takum,Terrorism,2022-07-07,sahara,"Takum, Taraba, Nigeria",9.9852661,7.2549376
Ogun,Ogun,Fraud,2023-06-10,guardian,"Ogun, Nigeria",3.5004784,7.3894478
Adamawa,Adamawa,Human,2023-06-26,dailytrust,"Adamawa, Nigeria",12.3881887,9.5129772
Abuja,Abuja,Others crimes,2022-06-22,sahara,"Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria",7.4892974,9.0643305
Edo,Edo,Fraud,2023-06-07,guardian,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Kaduna,Zangon Kataf,Others crimes,2023-06-27,dailytrust,"Zangon Kataf, Kaduna, Nigeria",8.258212780819786,9.89681685
Abuja,Abuja,Others crimes,2022-06-22,sahara,"Abuja, Municipal Area Council, Federal Capital Territory, 223140, Nigeria",7.4892974,9.0643305
Kwara,Asa,Violence,2023-06-27,dailytrust,"Asa, Kwara, 240104, Nigeria",4.442381499804297,8.41326505
Bauchi,Bogoro,Others crimes,2022-06-04,sahara,"Bogoro, Bauchi, Nigeria",9.620027211743103,9.6369083
Ogun,Imeko-Afon,Abduction,2023-06-27,dailytrust,"Imeko Afon, Ogun, Nigeria",2.860216231075362,7.66895115
Delta,Aniocha South,Violence,2022-06-16,sahara,"Aniocha South, Delta, Nigeria",6.477390127053598,6.1419725
Taraba,Jalingo,Others crimes,2023-06-27,dailytrust,"Jalingo, Taraba, Nigeria",11.3644261,8.8945377
Enugu,Enugu,Fraud,2022-06-06,sahara,"Enugu, Enugu North, Enugu, 400102, Nigeria",7.5000007,6.4499833
Anambra,Ogbaru,Others crimes,2023-05-19,guardian,"Ogbaru, Anambra, Nigeria",6.76099690724087,5.9212864
Enugu,Udi,,2022-06-03,sahara,"Udi, Enugu, Nigeria",7.397846,6.3227337
Anambra,Ogbaru,Terrorism,2023-05-18,guardian,"Ogbaru, Anambra, Nigeria",6.76099690724087,5.9212864
Enugu,Nsukka,Abduction,2023-06-25,dailytrust,"Nsukka, Enugu, 410001, Nigeria",7.3927,6.8561
Zamfara,Gusau,Fraud,2023-05-18,guardian,"Gusau, Zamfara, Nigeria",6.6606398,12.1658358
Imo,Ehime Mbano,Fraud,2022-06-13,sahara,"Ehime Mbano, Imo, Nigeria",7.300181361809889,5.6882541
Lagos,Badagry,Violence,2023-06-26,dailytrust,"Badagry, Lagos, Nigeria",2.9060324070376966,6.43932225
Zamfara,Gusau,Others crimes,2023-05-16,guardian,"Gusau, Zamfara, Nigeria",6.6606398,12.1658358
Imo,Imo,Fraud,2022-06-09,sahara,"Sam Mbakwe International Cargo Airport, F106, Enyiogugu, Aboh-Mbaise, Imo, 462103, Nigeria",7.204520853248672,5.42797015
Kano,Kano,,2022-06-23,sahara,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria",8.5303654,11.9918671
Bayelsa,Yenagoa,Abduction,2023-06-20,dailytrust,"Yenegoa, Bayelsa, Nigeria",6.2747786,4.9334651
Anambra,Anambra,Fraud,2023-05-12,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Kano,Kano,Others crimes,2022-06-09,sahara,"Kano, Yakasai, Kano Municipal, Kano, 700271, Nigeria",8.5303654,11.9918671
Benue,Oju,Others crimes,2023-06-19,dailytrust,"Oju, Benue, Nigeria",8.3636441817853,6.8701551
Kwara,Moro,Violence,2022-06-02,sahara,"Moro, Kwara, Nigeria",4.515472249381954,8.8535638
Anambra,Anambra,Fraud,2023-05-11,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Lagos,Epe,Others crimes,2022-06-15,sahara,"Epe, Lagos, Nigeria",3.9753453,6.5858219
Benue,Makurdi,Sexual abuse,2023-06-16,dailytrust,"Markurdi, Benue, Nigeria",8.538425,7.7312634
Anambra,Anambra,Fraud,2023-05-11,guardian,"Anambra, Otuocha, Anambra East, Anambra, Nigeria",6.7968582,6.2527902
Lagos,Lagos,Abduction,2022-06-11,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Edo,Edo,Abduction,2023-06-16,dailytrust,"Akoko-Edo, Edo, Nigeria",6.125235110308745,7.352393599999999
Lagos,Epe,Fraud,2022-06-09,sahara,"Epe, Lagos, Nigeria",3.9753453,6.5858219
Kwara,Kwara,Violence,2023-06-16,dailytrust,"Kwara, Nigeria",4.6688487,8.8367891
Kaduna,Ikara,Abduction,2023-05-10,guardian,"Ikara, Kaduna, Nigeria",8.2231659,11.176471
Lagos,Lagos,Others crimes,2022-06-09,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Lagos,Lagos,Others crimes,2022-06-02,sahara,"Lagos, Lagos Island, Lagos, 100242, Nigeria",3.3941795,6.4550575
Delta,Uvwie,Robbery,2023-05-09,guardian,"Uvwie, Delta, 330102, Nigeria",5.793784028700437,5.56435905
